City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
304,Pires Do Rio,BR,-17.2997,-48.2794,80.6,63,98,5.3,overcast clouds
305,Boende,CD,-0.2167,20.8667,74.98,80,99,1.59,overcast clouds
306,Iqaluit,CA,63.7506,-68.5145,14.0,73,75,13.8,light snow
307,Reyes,BO,-14.3167,-67.3833,72.14,93,100,3.44,light rain
308,Ascension,US,30.2169,-90.9001,69.8,68,90,11.5,overcast clouds
309,Oussouye,SN,12.485,-16.5469,82.4,73,0,11.5,clear sky
310,Mutis,CO,6.2262,-77.4044,81.73,77,100,1.5,overcast clouds
311,Plesetsk,RU,62.708,40.2916,30.16,89,86,8.59,overcast clouds
312,Muros,ES,42.7762,-9.0603,60.8,48,0,3.44,clear sky
313,Margate,GB,51.3813,1.3862,50.0,70,88,5.01,overcast clouds
314,Tiznit,MA,29.5833,-9.5,61.7,61,0,4.76,clear sky
315,Yarmouth,US,41.7057,-70.2286,48.99,93,90,13.8,heavy intensity rain
316,Sioux Lookout,CA,50.1001,-91.917,30.2,43,40,9.22,scattered clouds
317,Bonavista,CA,48.6499,-53.1147,32.0,51,71,1.14,broken clouds
318,Hamilton,US,39.1834,-84.5333,46.99,66,100,5.99,overcast clouds
319,Marzuq,YE,14.4,46.4667,67.21,39,1,5.59,clear sky
320,Isilkul,RU,54.9109,71.2728,22.75,94,100,19.01,snow
321,New Glasgow,CA,45.5834,-62.6486,35.6,69,100,13.8,overcast clouds
322,Harindanga,IN,22.0383,88.3214,80.6,83,0,5.75,mist
323,Nyimba,ZM,-14.5566,30.8149,67.8,92,100,6.38,overcast clouds
324,Pudozh,RU,61.8099,36.5345,31.3,93,86,7.07,overcast clouds
325,Uzunovo,RU,54.5386,38.6173,32.47,98,100,4.18,light snow
326,Bachaquero,VE,9.9694,-71.1494,85.66,60,83,8.7,broken clouds
327,Chicama,PE,-7.8447,-79.1469,73.4,78,0,10.36,clear sky
328,Sassandra,CI,4.95,-6.0833,77.05,90,100,6.38,light rain
329,Sesheke,ZM,-17.4759,24.2968,68.58,69,6,3.65,clear sky
330,Impfondo,CG,1.6381,18.0667,77.65,63,18,0.22,few clouds
